attribute,occurrences,entries,average
black,108513257,30872016,3.5149391280439866
white,99293743,30872016,3.2163025245905548
blue,166013512,30872016,5.377475575291228
brown,124464664,30872016,4.031633826569667
gray,92230676,30872016,2.987517109345888
orange,153857781,30872016,4.983729633983087
red,69028996,11856603,5.821987630015107
yellow,59702029,11114201,5.371688797062425
patches,45912088,10573628,4.342131953195252
spots,46275049,9898751,4.6748371587486135
stripes,54851195,9898751,5.541223837229565
furry,52868918,9898751,5.3409685727017475
hairless,49638909,9898751,5.014663870219587
toughskin,22309231,9898751,2.2537420125023853
big,34470216,9898751,3.4822793299881973
small,31822235,9898751,3.2147727526432375
bulbous,27488030,9898751,2.7769190274611413
lean,23654603,9898751,2.3896553211612255
flippers,54767015,9898751,5.532719734035132
hands,53779890,9898751,5.43299755696451
hooves,47705297,9898751,4.819324882502853
pads,35177257,9898751,3.5537066241993562
paws,38023680,9898751,3.841260377193042
longleg,40854891,9880033,4.135096613543699
longneck,54736673,9864531,5.548836837757416
tail,13752629,9864531,1.3941493011679926
chewteeth,45285313,9864531,4.590721342960958
meatteeth,35644277,9864531,3.6133777672755047
buckteeth,46694714,9864531,4.733596964721384
strainteeth,54102039,9864531,5.484501898772481
horns,50263079,9864531,5.0953338785189075
claws,34004760,9864531,3.4471745286217863
tusks,56758393,9864531,5.753785253449961
smelly,28134692,9864531,2.8521064001927714
flys,56899989,9864531,5.768139306369457
hops,56133248,9864237,5.690581846320197
swims,50221850,9863403,5.091736594357951
tunnels,52105367,9863403,5.282696752834696
walks,50807038,9863403,5.151065813695334
fast,52050256,9863403,5.277109330319363
slow,17400121,9863403,1.7641093038579079
strong,39797437,9863403,4.03485865882191
weak,48442527,9863403,4.911340132812175
muscle,38448615,9863403,3.898108492576041
bipedal,10649743,9863403,1.0797229921559526
quadrapedal,54263452,9863403,5.501493957004494
active,68138312,19238743,3.541723697852817
inactive,21592847,9863403,2.1891883561890353
nocturnal,21889380,9863403,2.2192523209281827
hibernate,16457240,9863403,1.6685154200837176
agility,14760269,9863403,1.4964682067639332
fish,17335081,9863403,1.7575152307981332
meat,65586931,19239824,3.4089153310342133
plankton,57197011,9863403,5.79891250514655
vegetation,32015873,9863403,3.24592567088661
insects,52683358,9863403,5.341296305139312
forager,37995036,9863403,3.8521224368506486
grazer,44012059,9863403,4.462157634641918
hunter,27482948,9863403,2.786355581334353
scavenger,49788518,9863403,5.047803278442542
skimmer,57778762,9863385,5.857903954879587
stalker,18221345,9863380,1.847373314218858
newworld,49233954,9863380,4.991590509541354
oldworld,6179700,9863380,0.6265296480516821
arctic,48918837,9863380,4.959642333561112
coastal,51365386,9863380,5.207686006216936
desert,56363494,9863380,5.714419803353414
bush,46573104,9863379,4.7218203822442595
plains,32793586,9863379,3.324782105604986
forest,30549663,9863379,3.0972816719300758
fields,39288528,9863379,3.983272669538502
jungle,42961321,9863379,4.355639279399078
mountains,17235579,9863379,1.7474314836730902
ocean,52681245,9863379,5.3410950750244925
ground,51908909,9863379,5.262791686297363
water,50221599,9863379,5.091723536122864
tree,43966304,9863379,4.457529615357982
cave,55817616,19238719,2.9013166625075195
fierce,34739880,9863379,3.522107383281125
timid,29202223,9863379,2.9606712871927563
smart,42425657,9863379,4.301330913067418
group,28076399,9863379,2.846529470275856
solitary,37807139,9863379,3.8330818475088506
nestspot,31789892,9863379,3.2230224550835977
domestic,41487595,9863379,4.20622537165002
