attribute,occurrences,entries,average
black,10322152,1929501,5.349648432418538
white,9332757,1929501,4.836875959121037
blue,15691749,1929501,8.13254255893104
brown,11626800,1929501,6.025806672295065
gray,8590124,1929501,4.45199250998056
orange,14771699,1929501,7.6557094295364445
red,15885784,1929501,8.233104828657773
yellow,14722385,1929501,7.63015152622362
patches,11904939,1929501,6.169957413859853
spots,12949484,1929501,6.71131240667924
stripes,15195505,1929501,7.875354819717637
furry,14388771,1929501,7.45724982780522
hairless,13526216,1929501,7.010214558064495
toughskin,6264920,1929501,3.2469120254407744
big,9604591,1929501,4.977759016450367
small,8942021,1929501,4.6343697152787175
bulbous,7857974,1929501,4.072542071758449
lean,7139061,1929501,3.699951956490305
flippers,15230084,1929501,7.893276033544424
hands,15433154,1929501,7.998520861093101
hooves,13540622,1929501,7.017680737143956
pads,9443043,1929501,4.894033742402828
paws,10781128,1929501,5.587521333235899
longleg,12028882,1929501,6.23419319295507
longneck,15487054,1929501,8.02645554472374
tail,3732453,1929501,1.9344136126387081
chewteeth,12862644,1929501,6.6663059516424195
meatteeth,9868217,1929501,5.114388124183403
buckteeth,13152533,1929501,6.816546350584944
strainteeth,15110584,1929501,7.8313429223410616
horns,14380988,1929501,7.45321614241195
claws,9564372,1929501,4.956914767082266
tusks,15902828,1929501,8.241938200602124
smelly,8356975,1929501,4.33115867781359
flys,16126150,1929501,8.357679006126455
hops,15806014,1929501,8.191762533421853
swims,13841783,1929501,7.173763061019404
tunnels,14803779,1929501,7.6723354898494485
walks,14291069,1929501,7.406613938007806
fast,14477301,1929501,7.503132156967008
slow,5440754,1929501,2.819772573323362
strong,11085532,1929501,5.745284402547601
weak,13475303,1929501,6.983827943079584
muscle,10296716,1929501,5.336465749434699
bipedal,2817362,1929501,1.4601505777918746
quadrapedal,15127899,1929501,7.8403167451066365
active,19305439,3767121,5.124719646647931
inactive,6562039,1929501,3.4008995071782806
nocturnal,6040052,1929501,3.1303699764861483
hibernate,4872133,1929501,2.525074099469241
agility,4259474,1929501,2.207552108032077
fish,5463588,1929501,2.8316067211159774
meat,18329870,3767121,4.8657502639283425
plankton,16016425,1929501,8.300811971592655
vegetation,9260407,1929501,4.79937921773557
insects,15073834,1929501,7.812296547138353
forager,10105504,1929501,5.237366552284762
grazer,12473870,1929501,6.464816551015003
hunter,7528071,1929501,3.901563668533989
scavenger,13802619,1929501,7.1534655851435165
skimmer,16194790,1929501,8.393252970586696
stalker,5113001,1929501,2.649908447831849
newworld,13846082,1929501,7.175991098216586
oldworld,1539710,1929501,0.7979835200914641
arctic,13627020,1929501,7.062458117409631
coastal,14321219,1929501,7.422239739704722
desert,15999305,1929501,8.291939211226115
bush,13248507,1929501,6.866286672046296
plains,9575941,1929501,4.96291061782295
forest,8207245,1929501,4.253558303416272
fields,11036536,1929501,5.71989130868551
jungle,12482376,1929501,6.469224944687771
mountains,4517063,1929501,2.341052427544738
ocean,14553044,1929501,7.54238738409568
ground,14585174,1929501,7.559039357844334
water,13841783,1929501,7.173763061019404
tree,12832318,1929501,6.650588934652016
cave,15476194,3767121,4.108228538451512
fierce,9281913,1929501,4.810525104677323
timid,7840012,1929501,4.063232929135564
smart,11854690,1929501,6.143914929300373
group,8097928,1929501,4.196902722517376
solitary,11006894,1929501,5.704528787494798
nestspot,9510740,1929501,4.929118979466712
domestic,11424151,1929501,5.92078003587456
