attribute,occurrences,entries,average
black,779251,95284,8.178193610679653
white,696333,95284,7.307974056504765
blue,1178457,95284,12.36783720246841
brown,863140,95284,9.058603752991058
gray,634920,95284,6.663448217958944
orange,1126805,95284,11.825752487301122
red,1208117,95284,12.679117165526216
yellow,1123919,95284,11.795464086310398
patches,891886,95284,9.360291339574324
spots,971480,95284,10.195625708408548
stripes,1147730,95284,12.045359136896016
furry,1061393,95284,11.139257377943832
hairless,997414,95284,10.46780151966752
toughskin,494992,95284,5.194912052390747
big,733787,95284,7.70105159313211
small,682967,95284,7.1676986692414255
bulbous,607743,95284,6.378227194492255
lean,559105,95284,5.867774232819781
flippers,1134060,95284,11.901893287435456
hands,1168162,95284,12.259791780361866
hooves,1004117,95284,10.538149112127954
pads,752272,95284,7.895050585617732
paws,778540,95284,8.170731707317072
longleg,905172,95284,9.499727131522606
longneck,1160305,95284,12.177333025481717
tail,276338,95284,2.9001511271567106
chewteeth,972866,95284,10.210171697241929
meatteeth,700252,95284,7.349103732001176
buckteeth,980566,95284,10.290982746316276
strainteeth,1131846,95284,11.878657487091221
horns,1077117,95284,11.304279837118509
claws,677811,95284,7.113586751185928
tusks,1195637,95284,12.548140296377147
smelly,632973,95284,6.643014566978716
flys,1220521,95284,12.809296419125982
hops,1189962,95284,12.48858150371521
swims,1036316,95284,10.876075731497417
tunnels,1120506,95284,11.759644851181731
walks,1061350,95284,11.138806095461987
fast,1080945,95284,11.34445447294404
slow,430108,95284,4.513958272112841
strong,835987,95284,8.773634608118886
weak,1011708,95284,10.617816212585534
muscle,760448,95284,7.980857226816674
bipedal,205598,95284,2.1577389698165486
quadrapedal,1128226,95284,11.84066579908484
active,1462832,187165,7.815734779472658
inactive,512123,95284,5.374700894169011
nocturnal,432014,95284,4.533961630494102
hibernate,353438,95284,3.709311112043995
agility,345013,95284,3.6208912304269343
fish,410384,95284,4.306956047185257
meat,1303160,187165,6.9626265594528896
plankton,1203206,95284,12.627576508123084
vegetation,668982,95284,7.020926913227824
insects,1140222,95284,11.96656311657781
forager,733129,95284,7.694145921665757
grazer,912474,95284,9.576361193904537
hunter,526407,95284,5.524610637672642
scavenger,1059317,95284,11.117469879518072
skimmer,1219421,95284,12.797751983543932
stalker,344095,95284,3.611256874186642
newworld,1041037,95284,10.925622350027286
oldworld,119586,95284,1.2550480668317872
arctic,1031629,95284,10.82688594097645
coastal,1076300,95284,11.295705469963478
desert,1213791,95284,12.738665463246715
bush,994172,95284,10.433776919524789
plains,731507,95284,7.677123126652953
forest,600523,95284,6.302453717308257
fields,817907,95284,8.583886066915747
jungle,947945,95284,9.94862726165988
mountains,326513,95284,3.426734813819739
ocean,1090380,95284,11.44347424541371
ground,1083975,95284,11.376254145501868
water,1036316,95284,10.876075731497417
tree,981072,95284,10.296293186684018
cave,1172157,187165,6.26269334544386
fierce,652829,95284,6.851402124176147
timid,543985,95284,5.709090718273792
smart,883100,95284,9.268082784098064
group,583170,95284,6.1203349985307085
solitary,799759,95284,8.393423869694807
nestspot,721709,95284,7.574293690441207
domestic,844785,95284,8.865969102892405
