attribute,occurrences,entries,average
black,1627,84,19.36904761904762
white,1411,83,17.0
blue,2415,83,29.096385542168676
brown,1732,83,20.867469879518072
gray,1259,83,15.168674698795181
orange,2380,83,28.674698795180724
red,2542,83,30.626506024096386
yellow,2378,83,28.650602409638555
patches,1828,83,22.02409638554217
spots,1989,83,23.96385542168675
stripes,2393,83,28.83132530120482
furry,2086,83,25.132530120481928
hairless,1969,83,23.72289156626506
toughskin,1125,83,13.55421686746988
big,1572,83,18.93975903614458
small,1465,83,17.650602409638555
bulbous,1313,83,15.819277108433734
lean,1243,83,14.975903614457831
flippers,2280,83,27.46987951807229
hands,2443,83,29.433734939759034
hooves,2009,83,24.204819277108435
pads,1727,83,20.80722891566265
paws,1463,83,17.626506024096386
longleg,1870,83,22.53012048192771
longneck,2367,83,28.518072289156628
tail,548,83,6.602409638554217
chewteeth,2025,83,24.397590361445783
meatteeth,1265,83,15.240963855421686
buckteeth,1992,83,24.0
strainteeth,2310,83,27.83132530120482
horns,2200,83,26.50602409638554
claws,1216,83,14.650602409638553
tusks,2460,83,29.63855421686747
smelly,1327,83,15.987951807228916
flys,2550,83,30.72289156626506
hops,2458,83,29.6144578313253
swims,2104,83,25.349397590361445
tunnels,2340,83,28.19277108433735
walks,2123,83,25.57831325301205
fast,2202,83,26.53012048192771
slow,975,83,11.74698795180723
strong,1749,83,21.072289156626507
weak,2086,83,25.132530120481928
muscle,1519,83,18.301204819277107
bipedal,392,83,4.72289156626506
quadrapedal,2276,83,27.42168674698795
active,3069,165,18.6
inactive,1137,83,13.698795180722891
nocturnal,794,83,9.566265060240964
hibernate,673,83,8.108433734939759
agility,810,83,9.759036144578314
fish,852,83,10.265060240963855
meat,2358,165,14.290909090909091
plankton,2469,83,29.746987951807228
vegetation,1277,83,15.385542168674698
insects,2387,83,28.759036144578314
forager,1395,83,16.80722891566265
grazer,1769,83,21.313253012048193
hunter,928,83,11.180722891566266
scavenger,2264,83,27.27710843373494
skimmer,2515,83,30.301204819277107
stalker,554,83,6.674698795180723
newworld,2141,83,25.795180722891565
oldworld,261,83,3.144578313253012
arctic,2139,83,25.771084337349397
coastal,2204,83,26.55421686746988
desert,2545,83,30.662650602409638
bush,2039,83,24.566265060240966
plains,1542,83,18.57831325301205
forest,1162,83,14.0
fields,1634,83,19.686746987951807
jungle,2003,83,24.132530120481928
mountains,618,83,7.445783132530121
ocean,2215,83,26.686746987951807
ground,2174,83,26.19277108433735
water,2104,83,25.349397590361445
tree,2099,83,25.289156626506024
cave,2447,165,14.83030303030303
fierce,1158,83,13.951807228915662
timid,940,83,11.325301204819278
smart,1782,83,21.46987951807229
group,1082,83,13.036144578313253
solitary,1518,83,18.289156626506024
nestspot,1527,83,18.397590361445783
domestic,1688,83,20.337349397590362
