attribute,occurrences,entries,average
black,995298,95284,10.445594223584232
white,767034,95284,8.049976911128836
blue,1461317,95284,15.336436337685235
brown,493636,95284,5.180680911800512
gray,764790,95284,8.026426262541454
orange,1456198,95284,15.282712732462953
red,1555730,95284,16.32729524369254
yellow,1455847,95284,15.279029008018135
patches,544677,95284,5.716353217749045
spots,360321,95284,3.7815477939633095
stripes,1444914,95284,15.164287813274003
furry,1281160,95284,13.445699172998614
hairless,319010,95284,3.3479912682087236
toughskin,900868,95284,9.454556903572477
big,1009124,95284,10.590697283909156
small,906770,95284,9.516498047940892
bulbous,873383,95284,9.166103438142816
lean,893997,95284,9.382446160950423
flippers,1396977,95284,14.661191805549725
hands,1476960,95284,15.500608706603417
hooves,1179457,95284,12.378332143906636
pads,1068100,95284,11.209646950170018
paws,876683,95284,9.200736744888964
longleg,511815,95284,5.371468452206036
longneck,1396081,95284,14.651788338021074
tail,1319725,95284,13.85043658956383
chewteeth,1266532,95284,13.292179169640233
meatteeth,757934,95284,7.9544729440409725
buckteeth,1244856,95284,13.06469081902523
strainteeth,1439713,95284,15.109703622853784
horns,1334752,95284,14.008144074556064
claws,877446,95284,9.20874438520633
tusks,1518319,95284,15.934668989547038
smelly,846561,95284,8.884608118886696
flys,1569810,95284,16.475064019142774
hops,1506231,95284,15.807806137441753
swims,1320922,95284,13.862999034465387
tunnels,1449227,95284,15.209552495697073
walks,1326357,95284,13.92003904118215
fast,1346887,95284,14.135500188908946
slow,1038831,95284,10.902470509214558
strong,1069956,95284,11.229125561479368
weak,1282215,95284,13.456771336215944
muscle,949994,95284,9.970131396666806
bipedal,1356354,95284,14.234855799504638
quadrapedal,1409517,95284,14.79279837118509
active,2132415,187165,11.393235914834504
inactive,945322,95284,9.921099030267412
nocturnal,1127109,95284,11.828942949498343
hibernate,1250885,95284,13.127964820956299
agility,1108322,95284,11.631774484698376
fish,1076388,95284,11.296629024810041
meat,1402877,187165,7.4954024523815885
plankton,1509883,95284,15.846133663574157
vegetation,782630,95284,8.213656017799421
insects,1486916,95284,15.605096343562403
forager,780666,95284,8.193043952814744
grazer,1037156,95284,10.884891482305528
hunter,998468,95284,10.47886318794341
scavenger,1426104,95284,14.966877964820956
skimmer,1540739,95284,16.169965576592084
stalker,1228932,95284,12.897569371562907
newworld,1303147,95284,13.676451450400906
oldworld,1434356,95284,15.053482221569203
arctic,1350073,95284,14.168937072331136
coastal,1370583,95284,14.384188321229168
desert,1557270,95284,16.34345745350741
bush,1229325,95284,12.90169388354813
plains,902090,95284,9.467381722009991
forest,921644,95284,9.672599806893077
fields,972542,95284,10.206771336215944
jungle,1248982,95284,13.107992947399353
mountains,1202879,95284,12.624144662272785
ocean,1374877,95284,14.429253599764913
ground,1343977,95284,14.104959909323705
water,1320922,95284,13.862999034465387
tree,1303266,95284,13.677700348432056
cave,2830723,187165,15.124211257446637
fierce,895132,95284,9.39435791948281
timid,1058697,95284,11.110963015826371
smart,1145547,95284,12.022448679736367
group,906818,95284,9.517001805129928
solitary,882109,95284,9.257682297132781
nestspot,1000340,95284,10.498509718315772
domestic,643897,95284,6.757661307249905
