attribute,occurrences,entries,average
black,51618,3486,14.80722891566265
white,39114,3486,11.220309810671257
blue,76229,3486,21.86718301778543
brown,26274,3486,7.537005163511187
gray,39668,3486,11.379231210556512
orange,75995,3486,21.80005737234653
red,81192,3486,23.290877796901892
yellow,75989,3486,21.79833620195066
patches,26750,3486,7.673551348250143
spots,18868,3486,5.412507171543316
stripes,75624,3486,21.693631669535286
furry,66006,3486,18.934595524956972
hairless,17817,3486,5.111015490533563
toughskin,46021,3486,13.20166379804934
big,51967,3486,14.907343660355709
small,47380,3486,13.591508892713712
bulbous,43248,3486,12.40619621342513
lean,44519,3486,12.770797475616753
flippers,72312,3486,20.74354561101549
hands,77297,3486,22.173551348250143
hooves,61872,3486,17.7487091222031
pads,56299,3486,16.150028686173265
paws,45163,3486,12.955536431440047
longleg,25130,3486,7.208835341365462
longneck,73397,3486,21.05479059093517
tail,67431,3486,19.343373493975903
chewteeth,65464,3486,18.779116465863453
meatteeth,38641,3486,11.084624211130235
buckteeth,64174,3486,18.40906483075158
strainteeth,74376,3486,21.33562822719449
horns,69533,3486,19.94635685599541
claws,45747,3486,13.123063683304647
tusks,78829,3486,22.613023522662075
smelly,43585,3486,12.502868617326449
flys,81753,3486,23.451807228915662
hops,78332,3486,22.47045324153758
swims,67961,3486,19.495410212277683
tunnels,75224,3486,21.57888697647734
walks,68197,3486,19.56310958118187
fast,69919,3486,20.05708548479633
slow,52444,3486,15.04417670682731
strong,55946,3486,16.04876649454963
weak,66647,3486,19.11847389558233
muscle,48889,3486,14.024383247274814
bipedal,70313,3486,20.170109007458404
quadrapedal,72817,3486,20.88841078600115
active,109199,6889,15.851212077224561
inactive,47553,3486,13.641135972461274
nocturnal,58367,3486,16.743258749282845
hibernate,63802,3486,18.302352266207688
agility,56565,3486,16.226333907056798
fish,55457,3486,15.908491107286288
meat,71707,6889,10.40891275947162
plankton,78482,3486,22.513482501434307
vegetation,40095,3486,11.50172117039587
insects,77166,3486,22.135972461273667
forager,40002,3486,11.475043029259897
grazer,54049,3486,15.504589787722319
hunter,52918,3486,15.180149168100975
scavenger,73905,3486,21.20051635111876
skimmer,80135,3486,22.98766494549627
stalker,64765,3486,18.57860011474469
newworld,67838,3486,19.460126219162365
oldworld,74167,3486,21.275674125071717
arctic,69555,3486,19.952667814113596
coastal,70824,3486,20.316695352839933
desert,81248,3486,23.306942053930005
bush,64117,3486,18.39271371199082
plains,47684,3486,13.67871485943775
forest,47153,3486,13.526391279403327
fields,50635,3486,14.525243832472748
jungle,64862,3486,18.606425702811244
mountains,62683,3486,17.981353987378085
ocean,70986,3486,20.3631669535284
ground,69386,3486,19.904188181296615
water,67961,3486,19.495410212277683
tree,67865,3486,19.467871485943775
cave,148189,6889,21.510959500653215
fierce,46936,3486,13.464142283419392
timid,54887,3486,15.744979919678714
smart,58391,3486,16.750143430866324
group,47980,3486,13.76362593230063
solitary,45879,3486,13.16092943201377
nestspot,51101,3486,14.658921399885255
domestic,31912,3486,9.154331612162938
